id;Pedido;Cliente;DATA_PEDIDO;DTA_CRIA_OM;DTA_LIBERACAO_CREDITO;DATA_EST_PICK;STATUS;DATA_GERACAO_NF;DAT_MINUTA;Editora;sku;volume;peso;valor;NF
SCI1355473;1355473;SERVICO SOCIAL INDUSTRIA;;;;23/11/2016;FINALIZADO;24/11/2016;25/11/2016;SCIPIONE;2;2;0,873;8,24;98638
SCI1355706;1355706;BOOKPARTNERS BRASIL EDITORA E DISTRIBUIDORA DE LIV;;;;23/11/2016;FINALIZADO;24/11/2016;25/11/2016;SCIPIONE;7;254;106,4;14768,46;98693
SCI1359545;1359545;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;29/11/2016;29/11/2016;FINALIZADO;01/12/2016;02/12/2016;SCIPIONE;17;158;69,185;7066,58;98861
SCI1365402;1365402;CLASSICA DISTRIBUIDORA DE LIVROS LTDA;;;;01/12/2016;FINALIZADO;09/12/2016;09/12/2016;SCIPIONE;9;9;3,525;244,68;99042
SCI1369105;1369105;LIVRARIA LIVRO FACIL LTDA;;;08/12/2016;09/12/2016;FINALIZADO;09/12/2016;12/12/2016;SCIPIONE;4;152;24,97;3744;99076
SCI1369133;1369133;SARAIVA E SICILIANO S/A;;;12/12/2016;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SCIPIONE;15;52;8,399;1202,23;99213
SCI1369398;1369398;ACEL ADMINISTRACAO DE CURSOS EDUCACIONAIS LTDA;;;09/12/2016;14/12/2016;FINALIZADO;15/12/2016;15/12/2016;SCIPIONE;25;150;20,862;2983,78;99354
SCI1375572;1375572;PAPELARIA HORIZONTE LTDA;;;;15/12/2016;FINALIZADO;15/12/2016;16/12/2016;SCIPIONE;3;3;0,855;125,24;99388
SCI1375458;1375458;LIVROS E PAPEIS CASTELO LTDA - ME;;;;15/12/2016;FINALIZADO;16/12/2016;16/12/2016;SCIPIONE;2;2;0,565;109,96;99411
REQ34815;34815;EDITORA SCIPIONE S/A;;;;19/12/2016;FINALIZADO;23/12/2016;23/12/2016;REQUISICAO SCIPIONE;2;250;38,8;2749,75;99632
SCI1376633;1376633;CLASSICA DISTRIBUIDORA DE LIVROS LTDA;;;16/12/2016;21/12/2016;FINALIZADO;23/12/2016;26/12/2016;SCIPIONE;29;629;134,11;16377,01;99668
SCI1377083;1377083;SAMPAIO & OLIVEIRA DISTRIBUIDORA DE LIVROS LTDA.;;;19/12/2016;21/12/2016;FINALIZADO;26/12/2016;27/12/2016;SCIPIONE;23;535;82,95;12582,63;99723
SCI1346461;1346461;INSTITUTO EDUCACIONAL PAULO FREIRE;;;03/11/2016;03/11/2016;FINALIZADO;04/11/2016;04/11/2016;SCIPIONE;1;75;7,875;1942,5;98210
SCI1354427;1354427;GALLAFASSI EDITORA E DISTRIBUIDORA LTDA.;;;17/11/2016;21/11/2016;FINALIZADO;22/11/2016;25/11/2016;SCIPIONE;9;2782;2158,25;119214,71;98570
